,index,hotel,price,date,mean
0,0,NH Collection Hamburg City,201.0,2021-07-31,
1,1,ibis Hotel Hamburg Alster Centrum,105.0,2021-07-31,
2,2,Novotel Suites Hamburg City,134.0,2021-07-31,
3,3,Novotel Hamburg City Alster,114.0,2021-07-31,
4,4,prizeotel Hamburg-City,74.0,2021-07-31,
5,5,Best Western Plaza Hotel Hamburg,65.0,2021-07-31,
6,6,NH Hamburg Horner Rennbahn,97.0,2021-07-31,
7,7,Ibis Hamburg City,99.0,2021-07-31,
8,8,Leonardo Hotel Hamburg Elbbrücken,94.0,2021-07-31,
9,9,H4 Hotel Hamburg Bergedorf,88.0,2021-07-31,
10,10,NH Hamburg Altona,119.0,2021-07-31,
11,11,ibis budget Hamburg Altona,59.0,2021-07-31,
12,12,NH Hamburg Mitte,131.0,2021-07-31,
13,13,ibis Hotel Hamburg Airport,72.0,2021-07-31,
14,14,Leonardo Hotel Hamburg City Nord,99.0,2021-07-31,
15,15,Ibis budget Hamburg City Ost,56.0,2021-07-31,
16,16,Leonardo Hotel Hamburg Airport,109.0,2021-07-31,
17,17,Leonardo Hotel Hamburg Stillhorn,84.0,2021-07-31,
18,"18,""Radisson Blu Hotel, Hamburg Airport"",€ 159,2021-07-31",,,,
19,19,Hyperion Hotel Hamburg,173.0,2021-07-31,
20,20,Select Hotel Hamburg Nord,72.0,2021-07-31,
21,21,Mercure Hotel Hamburg City,134.0,2021-07-31,
22,"22,""Radisson Blu Hotel, Hamburg"",€ 169,2021-07-31",,,,
23,23,25hours Hotel HafenCity,179.0,2021-07-31,
24,24,a&o Hamburg Hauptbahnhof,24.0,2021-07-31,
25,0,H4 Hotel Hamburg Bergedorf,78.0,2021-08-01,
26,"1,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 99,2021-08-01",,,,
27,2,Apartment-Hotel Hamburg Mitte,68.0,2021-08-01,
28,3,Moxy Hamburg City,104.0,2021-08-01,
29,4,CAB20,40.0,2021-08-01,
30,5,Hampton By Hilton Hamburg City Centre,143.0,2021-08-01,
31,6,NH Collection Hamburg City,135.0,2021-08-01,
32,"7,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 129,2021-08-01",,,,
33,8,ibis Hotel Hamburg Alster Centrum,90.0,2021-08-01,
34,9,Super 8 by Wyndham Hamburg Mitte,90.0,2021-08-01,
35,10,Novotel Suites Hamburg City,114.0,2021-08-01,
36,11,Generator Hamburg,20.0,2021-08-01,
37,12,Novotel Hamburg City Alster,104.0,2021-08-01,
38,13,Courtyard by Marriott Hamburg City,99.0,2021-08-01,
39,14,NH Hamburg Mitte,87.0,2021-08-01,
40,15,Ibis Hamburg City,83.0,2021-08-01,
41,16,prizeotel Hamburg-City,74.0,2021-08-01,
42,17,ARCOTEL Onyx Hamburg,83.0,2021-08-01,
43,"18,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 89,2021-08-01",,,,
44,19,Park Hotel am Berliner Tor,71.0,2021-08-01,
45,20,Best Western Plaza Hotel Hamburg,60.0,2021-08-01,
46,21,Leonardo Hotel Hamburg City Nord,74.0,2021-08-01,
47,22,Leonardo Hotel Hamburg Airport,69.0,2021-08-01,
48,23,Lindner Hotel Am Michel,139.0,2021-08-01,
49,24,Leonardo Hotel Hamburg Elbbrücken,74.0,2021-08-01,
50,0,Elbbrücken Hotel,64.0,2021-08-02,
51,1,CAB20,45.0,2021-08-02,
52,2,ibis Hotel Hamburg Alster Centrum,85.0,2021-08-02,
53,3,Hampton By Hilton Hamburg City Centre,143.0,2021-08-02,
54,"4,""Holiday Inn Hamburg - City Nord, an IHG Hotel"",€ 104,2021-08-02",,,,
55,5,Generator Hamburg,19.0,2021-08-02,
56,6,Novotel Suites Hamburg City,124.0,2021-08-02,
57,7,Ibis Hamburg City,83.0,2021-08-02,
58,"8,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 129,2021-08-02",,,,
59,9,prizeotel Hamburg-City,74.0,2021-08-02,
60,10,Novotel Hamburg City Alster,119.0,2021-08-02,
61,11,Super 8 by Wyndham Hamburg Mitte,109.0,2021-08-02,
62,12,Lindner Hotel Am Michel,170.0,2021-08-02,
63,13,NH Hamburg Altona,97.0,2021-08-02,
64,14,Best Western Plaza Hotel Hamburg,65.0,2021-08-02,
65,15,ibis budget Hamburg Altona,56.0,2021-08-02,
66,16,ibis Hotel Hamburg Airport,67.0,2021-08-02,
67,17,ARCOTEL Onyx Hamburg,117.0,2021-08-02,
68,18,Leonardo Hotel Hamburg Elbbrücken,94.0,2021-08-02,
69,19,Leonardo Hotel Hamburg City Nord,94.0,2021-08-02,
70,20,NH Hamburg Mitte,139.0,2021-08-02,
71,21,Leonardo Hotel Hamburg Airport,84.0,2021-08-02,
72,22,Ibis budget Hamburg City Ost,59.0,2021-08-02,
73,"23,""Holiday Inn - Hamburg - HafenCity, an IHG Hotel"",€ 129,2021-08-02",,,,
74,24,NH Hamburg Horner Rennbahn,98.0,2021-08-02,
75,0,Elbbrücken Hotel,81.0,2021-08-03,
76,"1,""Holiday Inn - Hamburg - Berliner Tor, an IHG Hotel"",€ 169,2021-08-03",,,,
77,2,Renaissance Hamburg Hotel,179.0,2021-08-03,
78,3,Hamburg Marriott Hotel,189.0,2021-08-03,
79,4,Hampton By Hilton Hamburg City Centre,125.0,2021-08-03,
80,5,Generator Hamburg,20.0,2021-08-03,
81,6,Courtyard by Marriott Hamburg Airport,109.0,2021-08-03,
82,7,Novotel Suites Hamburg City,124.0,2021-08-03,
83,"8,""Crowne Plaza Hamburg City Centre, an IHG Hotel"",€ 129,2021-08-03",,,,
84,9,prizeotel Hamburg-City,74.0,2021-08-03,
85,10,Super 8 by Wyndham Hamburg Mitte,119.0,2021-08-03,
86,11,Novotel Hamburg City Alster,119.0,2021-08-03,
87,12,NH Hamburg Horner Rennbahn,92.0,2021-08-03,
88,13,Best Western Plaza Hotel Hamburg,67.0,2021-08-03,
89,14,ibis Hotel Hamburg Airport,67.0,2021-08-03,
90,"15,""Holiday Inn Hamburg, an IHG Hotel"",€ 299,2021-08-03",,,,
91,16,Ibis budget Hamburg City Ost,59.0,2021-08-03,
92,17,H4 Hotel Hamburg Bergedorf,91.0,2021-08-03,
93,18,Lindner Hotel Am Michel,170.0,2021-08-03,
94,19,Park Hotel Hamburg Arena,70.0,2021-08-03,
